cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
21,7,58,24,8,60,015822011
31,10,68,28,9,65,015825001
64,30,88,65,24,85,015827001
65,37,89,57,30,87,015827002
37,19,71,42,24,76,015827003
25,11,64,29,13,72,015827004
46,18,75,47,16,72,015828001
35,15,69,39,16,71,015828002
46,21,79,42,21,76,015828003
40,17,75,38,17,73,015828004
38,18,70,36,15,68,015828005
43,20,76,42,24,76,015828006
54,24,83,54,23,79,015828007
67,27,85,59,14,76,015828008
27,9,62,31,10,64,015830001
35,13,69,41,17,71,015830101
45,18,72,49,23,81,015830102
57,34,82,59,29,87,015830103
53,28,82,53,29,81,015831001
47,20,78,47,20,76,015831002
57,27,88,58,30,89,015831003
58,38,84,62,46,89,015831004
59,26,91,62,31,90,015831005
52,18,82,50,6,70,015833001
88,62,98,87,58,97,015834001
65,42,89,71,47,94,015834002
75,50,94,75,52,94,015834101
67,40,92,66,40,95,015835001
68,32,91,71,35,92,015835002
67,37,93,69,38,95,015835003
72,41,91,75,42,91,015835004
30,12,65,35,18,72,015835005
68,35,93,70,40,93,015836001
40,18,75,41,23,73,015838001
68,29,87,64,15,81,015901001
63,35,87,65,39,87,015901041
49,26,79,57,32,85,015901101
59,34,86,65,39,89,015901104
47,13,73,39,4,61,015904001
47,15,73,39,3,61,015904002
12,1,43,7,0,25,015904004
68,22,92,69,13,90,015904011
40,16,75,36,15,70,015904041
34,15,68,32,16,67,015904042
39,16,71,34,12,67,015904043
38,15,72,35,14,70,015904044
15,4,50,22,7,59,015904048
43,11,79,47,16,82,015904101
34,14,69,30,13,71,015904102
39,20,77,34,19,74,015904103
29,13,62,30,14,66,015904104
30,12,63,26,8,58,015904105
31,13,64,31,11,66,015904106
49,22,81,46,20,81,015904107
46,22,77,47,26,76,015904108
47,22,81,47,23,82,015904109
35,13,70,36,15,74,015904110
47,26,77,44,25,75,015904113
33,14,72,36,17,73,015904114
-1,-1,-1,-1,-1,-1,015904115
38,18,70,36,15,69,015904116
36,9,66,28,2,53,015905002
39,12,65,29,2,51,015905003
46,13,70,32,2,54,015905015
25,9,55,26,10,60,015905041
,,,,,,015905042
26,10,56,30,12,59,015905044
26,9,60,25,9,59,015905046
36,14,73,33,12,78,015905104
25,8,60,29,7,61,015905106
23,9,62,20,7,65,015905108
26,9,63,28,11,68,015905109
18,5,46,15,4,46,015905110
26,9,58,26,12,62,015905112
22,8,54,24,10,59,015905113
24,10,63,21,6,58,015905114
21,9,54,22,12,59,015905116
24,9,54,26,8,55,015905117
76,32,94,76,17,93,015906001
66,35,92,65,41,92,015906041
75,48,95,71,44,94,015906101
43,9,72,34,3,57,015907001
33,6,63,29,2,52,015907002
34,8,64,25,1,47,015907003
68,20,91,63,5,83,015907004
37,10,65,27,3,51,015907005
27,7,55,23,3,43,015907006
35,6,67,30,1,52,015907007
25,5,54,17,1,39,015907008
,,,,,,015907010
,,,,,,015907020
94,42,99,94,24,99,015907022
89,59,100,86,47,100,015907023
17,4,45,11,0,30,015907024
65,19,90,54,6,80,015907025
52,22,82,58,25,85,015907026
64,11,86,68,8,83,015907027
7,0,34,8,0,21,015907030
23,11,53,22,11,50,015907043
24,6,59,25,10,57,015907047
37,17,73,31,16,72,015907049
25,10,58,26,11,59,015907050
19,6,52,22,8,53,015907051
17,4,40,25,6,52,015907053
23,7,55,26,10,58,015907054
28,11,60,27,13,57,015907055
19,8,48,20,8,46,015907057
37,14,72,34,15,69,015907059
20,6,52,27,10,62,015907061
5,0,16,6,0,13,015907064
36,16,70,34,17,73,015907101
29,12,60,31,15,63,015907103
45,22,75,46,25,75,015907105
26,11,62,28,11,65,015907106
36,17,66,44,21,73,015907107
25,9,57,23,8,54,015907110
31,13,63,31,14,64,015907112
31,12,59,34,15,59,015907114
30,11,66,26,12,69,015907116
41,19,72,36,20,73,015907117
26,10,62,28,11,63,015907118
25,11,53,23,11,51,015907119
24,11,60,24,10,61,015907121
27,12,58,27,13,59,015907123
37,15,74,37,15,75,015907124
27,10,62,22,7,61,015907125
44,22,74,42,19,77,015907126
42,21,76,37,15,76,015907127
35,16,71,33,15,71,015907129
28,12,59,26,13,57,015907131
23,8,54,23,6,53,015907132
43,20,76,40,20,76,015907134
51,27,77,43,25,73,015907135
31,11,62,31,11,64,015907136
23,10,52,25,10,53,015907137
21,10,49,23,8,55,015907139
20,7,57,22,6,62,015907140
30,12,65,33,15,65,015907141
30,9,67,26,7,63,015907142
35,13,75,36,14,79,015907143
25,11,61,26,10,64,015907144
35,15,71,38,16,72,015907146
21,8,53,24,9,53,015907147
32,11,65,29,11,67,015907148
33,12,66,29,11,64,015907149
31,13,64,35,14,69,015907150
34,16,68,30,10,68,015907153
37,19,71,37,18,71,015907155
20,9,49,21,9,52,015907157
20,8,50,17,8,42,015907158
33,14,65,33,14,65,015907160
28,11,62,29,12,61,015907161
30,12,66,29,12,65,015907162
68,46,91,69,50,88,015907163
51,22,82,56,23,85,015907164
27,12,57,26,11,52,015907165
19,8,49,25,9,50,015907168
11,4,37,14,5,39,015907169
37,16,67,33,14,66,015907172
36,18,69,40,21,75,015907174
33,14,64,34,16,66,015907175
23,8,59,24,6,61,015907176
56,25,87,56,24,87,015907177
33,12,67,35,16,70,015907179
16,3,40,17,3,35,015907182
,,,,,,015907184
,,,,,,015907186
-1,-1,-1,-1,-1,-1,015907195
,,,,,,015907201
43,18,74,38,19,71,015907210
45,12,72,37,4,60,015908001
28,9,65,29,12,63,015908041
30,10,63,28,13,59,015908042
30,12,65,31,16,63,015908044
29,12,65,30,15,70,015908104
27,12,63,23,11,58,015908105
27,14,64,24,14,67,015908106
34,15,68,33,15,69,015908107
25,10,56,28,11,60,015908108
28,12,68,27,12,67,015908109
30,11,64,36,15,65,015908110
25,10,57,26,11,56,015908112
29,12,59,28,12,60,015908113
37,9,64,29,3,51,015909001
66,13,89,66,7,87,015909006
35,15,69,35,16,73,015909041
52,26,81,44,21,77,015909101
39,18,72,39,20,76,015909104
32,12,68,33,13,67,015909105
56,23,78,48,9,67,015910001
61,24,81,53,9,72,015910002
65,26,83,61,13,76,015910003
51,19,72,42,7,61,015910004
62,24,82,55,9,73,015910005
85,48,94,83,29,92,015910007
59,29,80,19,6,44,015910008
86,41,98,86,29,96,015910009
85,48,93,78,26,89,015910014
41,19,73,44,22,75,015910041
42,19,75,39,20,71,015910042
44,23,71,44,25,70,015910043
40,17,72,38,19,69,015910044
41,18,78,39,19,75,015910045
42,21,70,43,24,71,015910046
36,14,68,38,16,67,015910047
57,30,86,59,33,85,015910048
44,20,78,50,26,81,015910049
73,44,93,71,44,92,015910050
70,41,92,67,41,91,015910056
79,52,95,76,51,94,015910057
49,23,80,49,25,80,015910058
65,37,91,69,42,91,015910059
58,30,88,61,34,90,015910101
46,22,79,49,27,83,015910102
35,18,64,34,17,65,015910103
44,19,78,43,22,79,015910104
38,18,72,40,20,75,015910105
31,11,66,37,15,73,015910106
34,17,68,35,19,71,015910107
29,11,61,28,12,62,015910108
56,32,80,59,39,83,015910109
31,16,63,38,20,68,015910110
54,25,84,51,21,83,015910111
44,18,80,45,19,81,015910112
27,14,61,30,15,66,015910113
31,12,64,34,15,69,015910114
27,11,61,26,9,62,015910115
40,17,74,41,17,79,015910116
33,13,69,39,18,72,015910117
36,14,70,36,15,71,015910118
23,9,59,23,9,61,015910119
36,14,73,41,20,75,015910120
29,13,65,31,15,69,015910121
24,9,54,20,5,53,015910122
72,50,92,70,50,93,015910123
34,15,67,35,16,70,015910124
33,15,68,35,17,73,015910125
46,23,75,47,28,79,015910126
34,17,70,37,20,75,015910127
